2,-0.707107,-0.707107
3,-1.21958,-1.33555
5,-0.663981,-0.49195
7,-0.430492,-0.214672
11,-0.284092,-0.0548586
13,0.165059,0.55856
17,0.176127,0.490436
19,-0.200578,-0.118662
23,-0.155123,-0.0652961
29,-0.121041,-0.0278836
31,-0.265414,-0.249731
37,-0.266623,-0.25341
41,-0.2341,-0.2078
43,-0.200913,-0.163375
47,-0.177795,-0.134308
53,-0.158097,-0.110302
59,-0.141139,-0.0902925
61,0.0216752,0.132577
67,-0.0619036,0.00796226
71,-0.0528745,0.0156254
73,-0.141592,-0.110175
79,-0.182218,-0.167724
83,-0.169523,-0.151301
89,-0.158043,-0.13671
97,-0.123376,-0.0905221
101,-0.114803,-0.080595
103,-0.20136,-0.198796
107,-0.190716,-0.184657
109,-0.273438,-0.294901
113,-0.261188,-0.277727
127,-0.218841,-0.220189
131,-0.209272,-0.20735
137,-0.200342,-0.195515
139,-0.251432,-0.263385
149,-0.241907,-0.25026
151,-0.0930143,-0.0531698
157,-0.0910362,-0.0519802
163,-0.0337971,0.0221295
167,-0.0309463,0.0239907
173,-0.028272,0.0256979
179,-0.0257594,0.0272657
181,-0.015828,0.0385675
191,-0.0137772,0.039595
193,0.0274007,0.0915886
197,0.028375,0.0910023
199,0.0632952,0.134337
211,0.134873,0.225223
223,0.0811201,0.152779
227,0.0808191,0.150489
229,0.0724445,0.137863
233,0.0723086,0.136034
239,0.072162,0.134267
241,0.139089,0.218624
251,0.137682,0.214922
257,0.136313,0.21136
263,0.13498,0.207931
269,0.133682,0.204627
271,0.118921,0.184215
277,0.111365,0.173162
281,0.110503,0.170753
283,0.131477,0.196118
293,0.130298,0.193295
307,0.10845,0.164141
311,0.107642,0.162003
313,0.126381,0.184729
317,0.125317,0.182261
331,0.0643029,0.103617
337,0.0293673,0.0585134
347,0.0297197,0.0584244
349,0.0296303,0.0577914
353,0.0299626,0.05771
359,0.0302795,0.0576234
367,0.0319787,0.0592981
373,0.0295375,0.0557481
379,0.0228641,0.0468845
383,0.0232356,0.0469543
389,0.0235923,0.0470156
397,0.0529449,0.083592
401,0.0529068,0.0830566
409,0.0556261,0.0860009
419,0.0555425,0.085424
421,0.0452665,0.0720704
431,0.0453015,0.0717088
433,0.0110026,0.0283364
439,-0.00865905,0.00346211
443,-0.00800591,0.00410252
449,-0.00737144,0.00472135
457,-0.00261987,0.0104865
461,-0.00206712,0.0109924
463,-0.0133342,-0.0032174
467,-0.0126791,-0.00254109
479,-0.0120447,-0.00188824
487,-0.000696403,0.0121078
491,-0.000208895,0.0125447
499,0.0115493,0.0270012
503,0.0118935,0.0272288
509,0.0122278,0.0274476
521,0.0125501,0.0276551
523,0.0401955,0.0617622
541,0.031663,0.0508776
547,0.0313812,0.0502907
557,0.0314889,0.0501941
563,0.0315924,0.050097
569,0.0316917,0.0499993
571,0.0276242,0.0447392
577,0.026316,0.0429181
587,0.0264558,0.042899
593,0.0265911,0.042878
599,0.026722,0.042855
601,0.0130831,0.0258138
607,0.0313731,0.0482682
613,0.0487046,0.0694814
617,0.0486299,0.0691624
619,0.0190616,0.0325278
631,0.0396423,0.0577521
641,0.0396411,0.0575581
643,0.0232958,0.037244
647,0.0234316,0.0372656
653,0.0235635,0.0372849
659,0.0236918,0.037302
661,0.00768557,0.0175242
673,0.0143479,0.0256071
677,0.0145437,0.025735
683,0.014735,0.0258589
691,0.0155019,0.0266903
701,0.0156787,0.0267981
709,0.0322091,0.0469677
719,0.0322488,0.046875
727,0.0424458,0.0592471
733,0.0471168,0.0648168
739,0.040763,0.0568632
743,0.0407321,0.056676
751,0.056723,0.0761101
757,0.0584986,0.0781062
761,0.0583338,0.0777271
769,0.0454412,0.0617883
773,0.0453721,0.061558
787,0.0416892,0.0569104
797,0.0416442,0.0567213
809,0.0415978,0.0565328
811,0.0530409,0.0703937
821,0.0529131,0.0700881
823,0.08465,0.108706
827,0.0843036,0.10808
829,0.0680206,0.0880303
839,0.0677912,0.0875835
853,0.049874,0.0655511
857,0.0497679,0.0652925
859,0.0437891,0.0578824
863,0.0437241,0.057689
877,0.0487304,0.0636757
881,0.0486315,0.0634355
883,0.0383998,0.0508754
887,0.0383685,0.0507389
907,0.0512391,0.066311
911,0.051123,0.0660522
919,0.038203,0.0502207
929,0.0381689,0.0500866
937,0.0231927,0.0317769
941,0.0232515,0.0317831
947,0.0233089,0.0317885
953,0.023365,0.031793
967,-0.0070449,-0.00523508
971,-0.00680627,-0.00495861
977,-0.00657112,-0.00468669
983,-0.0063394,-0.00441923
991,-0.0152328,-0.0152258
997,-0.00139948,0.00155492
1009,-0.00489509,-0.00270867
1013,-0.00468147,-0.0024652
1019,-0.0044709,-0.00222563
1021,-0.00429788,-0.00203189
1031,-0.00409302,-0.00179959
1033,-0.00733401,-0.00573793
1039,-0.0242403,-0.026202
